Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
168,Dabur India,"8,022.81",-1.64,"7,701.44",-2.13,"1,276.94",2.06,"5,905.02",16.85,"4,847.39",16.23,477.03,,765.65,-0.54
169,Century Textiles & Industries,"7,875.56",-1.19,"7,899.29",-0.85,104.99,0,"8,350.16",-0.24,"2,481.86",5,0,,667.2,3.22
170,Jain Irrigation Systems,"7,720.37",9.41,"7,284.75",4.73,169.47,250.14,"8,427.05",0.13,"4,157.76",2.3,0,,738.29,10.79
171,National Fertilizer,"7,713.86",-4.16,"7,619.94",-1.77,207.92,5.54,"8,971.71",-18.35,"1,826.64",13.69,0,,488.08,6.76
172,Chambal Fertilisers & Chemicals,"7,690.56",-18.4,"7,553.45",-16.15,362.14,63.89,"6,669.19",-6.25,"2,123.54",13.75,0,,141.88,-14.95
173,Lanco Infratech,"7,510.07",-12.82,"7,343.69",-9.32,"-2,259.97",0,"45,064.75",-1.51,0,0,0,,335.23,-5
174,Kalpataru Power Transmission,"7,490.45",6.66,"7,512.47",4.56,186.46,69.49,"6,294.20",3.27,"2,421.58",7.77,0,,549.83,-0.35
175,Adani Enterprises,"7,455.55",1.34,"6,629.45",2.81,987.74,-2.27,"37,056.89",9.41,"14,135.97",5.67,0,,538.94,2.09
176,Eicher Motors,"7,423.77",69.71,"7,033.36",70.89,"1,667.08",86.89,"5,455.85",46.63,"5,345.07",46.32,0,,402.36,72.32
177,Jindal Saw,"7,394.61",-6.13,"7,094.67",-7.89,113.77,0,"11,760.55",-9.22,"5,386.14",5.15,0,,778.5,-1.37
178,Apollo Hospitals Enterprise,"7,367.13",15.7,"7,254.91",16.74,220.99,-6.51,"7,058.89",12.47,"3,671.35",10.21,3.64,,"1,196.50",16.9
179,Dalmia Bharat,"7,225.92",11.43,"7,016.13",12.53,344.8,81.46,"13,955.06",-1.98,"4,964.87",8.18,0,,609.18,20.56
180,Cox & Kings,"7,211.08",-4.94,"7,176.29",-4.38,146.96,189.98,"6,905.77",-4.32,"2,588.40",5.58,0,,745.51,-10.21
181,M&M Financial Services,"7,200.65",9.14,"7,189.06",9.16,511.64,-33.75,"48,920.11",17.87,"6,960.16",7.59,0,,886.64,25.93
182,Jammu and Kashmir Bank,"7,183.07",-2.3,"6,685.80",-2.31,"-1,632.99",0,"79,407.91",1.75,"5,038.08",-21.54,0,,"1,126.35",9.87
183,Jindal Poly Films,"7,174.19",-1.21,"7,017.07",-2.88,193.4,-42.76,"5,426.47",5.66,"2,376.49",7.23,0,,969.91,7.67
184,Rashtriya Chemicals & Fertilizers,"7,144.21",-16.49,"7,223.17",-12.35,179.25,6.02,"5,078.41",-17.72,"2,925.04",3.84,0,,503.64,1.54
185,Kwality,"7,065.19",12.97,"6,871.79",8.25,194.15,18.41,"2,791.98",17.56,"1,117.31",30.9,0,,40.08,7.14
186,Centrum Capital,"6,995.01",74.3,"6,986.93",74.41,30.01,14.72,888.4,17.39,300.81,-5.72,0,,134.49,78.27
187,Welspun India,"6,915.47",15.51,"6,640.54",12.1,357.56,-51.45,"5,979.40",9.67,"2,397.15",21.68,0,,637.3,18.75
188,Tata Global Beverages,"6,912.87",3.2,"6,779.55",2.15,389.44,0,"8,187.24",-6.56,"6,243.64",0.29,0,,834.95,3.71
189,Bharat Forge,"6,693.18",-5.53,"6,396.15",-6.07,704.62,3.86,"7,438.95",6.82,"4,116.37",20.6,58.2,,930.92,1.71
190,Vardhman Textiles,"6,653.47",10.75,"6,034.27",2.98,981.41,59.69,"6,654.97",-1.56,"4,273.23",6.83,0,,478.85,10.39
191,Aditya Birla Fashion & Retail,"6,638.40",5.37,"6,602.86",9.43,53.5,0,"3,156.87",9.74,955.42,5.96,0,,705.8,13.74
192,Edelweiss Financial Services,"6,618.84",25.64,"6,604.31",25.66,609.31,47.04,"40,014.82",21.63,"4,329.46",17.81,83.22,,"1,102.15",24.94
193,South Indian Bank,"6,562.64",8.03,"5,847.08",5.22,392.5,17.77,"72,923.73",17.28,"4,604.65",24.05,0,,676.52,-2.27
194,NBCC (India),"6,553.10",5.28,"6,312.90",8.35,354.72,22.61,"1,767.27",9.44,"1,693.84",9.9,0,,247.47,10.11
195,Uflex,"6,543.43",1.64,"6,504.78",2.19,348.46,11.03,"5,766.05",2.85,"3,628.82",5.25,0,,547.39,10.33
196,Zuari Agro Chemicals,"6,481.79",-14.93,"6,385.46",-16.11,-52.97,0,"6,002.90",-11.47,"1,306.49",-3.03,0,,160.51,5.93
197,Gujarat Fluorochemicals,"6,431.23",-8.29,"6,288.40",-10.29,88.12,-77.93,"9,176.32",7.07,"4,518.26",2.73,0,,334.16,19.92
198,Voltas,"6,404.72",9.67,"6,032.80",5.47,509,31.49,"3,597.71",12.76,"3,306.62",17.63,0,,618.43,-2.63
199,Karur Vysya Bank,"6,404.57",4.14,"5,622.35",3.29,605.98,6.76,"60,431.15",5.01,"5,035.69",10.12,0,,607.96,11.07
200,Havells India,"6,402.74",-26.15,"6,155.76",-19.14,494.11,-62,"3,508.73",9.92,"3,276.82",8.23,187.46,,509.01,-43.19
201,Container Corporation Of India,"6,349.68",-4.74,"6,040.41",-4.86,856.2,-11.36,"9,062.76",6.52,"8,805.99",6,0,,188.67,18.91
202,SpiceJet,"6,342.36",17.32,"6,191.27",21.68,430.73,-4.24,903.17,70.41,-609.09,0,0,,673.54,36.77
203,Tata Capital,"6,324.10",25.66,"6,248.52",25.79,459.54,13.46,"51,151.58",14.65,"4,212.28",-4.18,0,,573.79,27.32
204,Mphasis,"6,313.28",0.59,"6,076.36",-0.07,791.58,25.35,"6,472.84",1.2,"6,152.40",5.08,505.87,,"3,709.56",-0.56
205,Torrent Pharmaceuticals,"6,219.95",-11.9,"5,856.92",-12.41,933.55,-46.14,"7,131.72",16.87,"4,350.13",24.5,169.22,,993.41,17.93
206,Punj Lloyd,"6,216.66",32.28,"4,867.28",9.45,-920.05,0,"6,044.70",-8.1,"-1,826.72",0,0,,578.17,-25.26
207,Welspun Corp,"6,216.57",-15.11,"5,898.71",-18.48,26.43,-82.59,"5,166.41",-15.4,"1,809.62",-40.95,0,,430.55,-22.79
208,Deutsche Bank,"6,122.66",3.54,"5,000.90",0.88,986.54,-16.79,"60,156.62",-6.27,"11,648.18",0.26,0,,516.87,-9.52
209,Alkem Laboratories,"6,089.14",15.57,"5,687.53",15.49,892.03,20.29,"5,355.79",18.23,"4,467.64",21.01,0,,"1,003.85",16.58
210,DCM Shriram,"6,075.88",0.77,"5,788.46",0.14,551.68,82.83,"3,792.25",13.91,"2,527.73",20.89,94.19,,532.59,9.21
211,Marico,"6,070.77",0.34,"5,917.79",-1.65,798.59,12.24,"2,593.68",9.17,"2,325.68",15.28,451.59,,404.18,8.24
212,Jubilant Life Sciences,"6,001.51",3.42,"5,861.43",1.95,575.65,46.91,"7,718.57",1.02,"3,436.05",15.84,0,,"1,230.93",9.41
213,Karnataka Bank,"5,994.74",8.3,"5,185.40",3.87,452.26,8.9,"62,708.31",13.54,"4,719.05",27.87,0,,601.03,35.67
214,IRB Infrastructure Developers,"5,969.11",13.59,"5,845.94",14,715.47,11.95,"35,194.38",-14.65,"5,271.60",9,70.29,,272.62,10.59
215,CG Power & Industrial Solutions,"5,947.96",5.75,"5,712.66",8.43,-490.86,0,"7,785.63",-11.16,"4,102.66",-10.6,0,,537.1,-4.13
216,Muthoot Finance,"5,938.39",20.19,"5,934.98",20.24,"1,199.79",47.3,"29,468.33",14.92,"6,538.04",16.29,239.69,,764.23,16.89
217,CEAT,"5,860.63",6.12,"5,766.51",5.16,361.15,-17.46,"3,435.75",22.99,"2,414.95",17.53,0,,419.63,5
218,Sintex Plastics Technology,"5,853.92",0,"5,810.58",0,420.31,0,"7,359.42",0,"3,058.69",0,0,,740.59,0
219,Pidilite Industries,"5,765.07",6.39,"5,616.79",4.77,859.99,7.12,"3,752.97",34.13,"3,470.91",31.57,0,,645.27,12.78
220,Simplex Infrastructures,"5,689.39",-4.9,"5,612.49",-4.77,136.78,27.1,"4,866.96",0.82,"1,532.43",8.69,0,,515.14,-18.5
221,Endurance Technologies,"5,662.98",6.91,"5,573.87",6.57,330.31,10.34,"2,460.12",6.04,"1,729.33",19.28,5.28,,547.72,12.67
222,Sundaram Finance,"5,633.21",11.89,"5,625.00",11.89,683.48,17.2,"27,176.93",9.38,"4,816.02",14.81,55.55,,496.12,10.9
223,Allcargo Logistics,"5,632.46",-0.76,"5,583.36",-1.01,231.82,-3.36,"2,409.53",5.84,"1,792.22",3.22,0,,941.94,2.55
224,Raymond,"5,578.98",3.39,"5,391.32",4.14,25.52,-69.91,"3,936.74",2.23,"1,673.12",0.05,18.41,,753.54,8.87
225,Mahindra CIE Automotive,"5,564.36",2.27,"5,524.58",3.57,169.01,65.23,"4,989.16",45.52,"3,266.26",62.78,0,,"1,102.49",3.19
226,Amara Raja Batteries,"5,537.49",15.79,"5,317.15",15.15,478.49,-2.67,"2,746.90",21.5,"2,593.07",22.55,0,,277.75,14.34
227,Bajaj Hindusthan Sugar,"5,528.50",22.88,"4,399.30",-6.21,-91.98,0,"10,525.37",-0.06,"3,465.56",-3.15,0,,233.71,17.4
228,Nirma,"5,524.92",5.35,"5,391.42",4.15,431.38,-26.82,"11,292.79",90.83,"4,236.73",11.6,0,,298.22,7.86
229,Uttam Galva Steels,"5,480.62",-32.58,"5,270.26",-36.47,-437.48,0,"7,025.06",29.44,199,-67.61,0,,105.67,-9.16
230,Gujarat State Fertilizers & Chemicals,"5,380.50",-13.33,"5,264.53",-13.81,424.46,2.04,"7,918.57",9.49,"6,618.95",19.37,87.67,,511.43,6.8
231,Fortis Healthcare,"5,311.12",15.12,"4,657.10",8.26,421.66,"2,189.14","8,600.30",33.79,"5,143.49",15.29,0,,910.41,9.63
232,Mindtree,"5,291.70",11.24,"5,236.40",12.06,418.6,-24.24,"2,706.80",6.38,"2,577.10",6.72,117.6,,"3,412.50",21.91
233,Cummins India,"5,227.32",8.07,"5,106.38",8.18,736.27,2.07,"4,213.37",13.41,"3,871.10",7.27,138.6,,445.28,5.75
234,Shoppers Stop,"5,202.92",8.51,"5,185.76",10.74,-37.28,0,"1,369.55",1.98,479.23,-6.96,0,,388.63,16.7
235,The India Cements,"5,199.92",5.77,"5,162.51",5.73,151.03,29.43,"8,499.68",-1.35,"5,174.90",2.47,0,,364.56,1.5
236,BASF India,"5,122.11",6.14,"5,079.81",6.96,-14.13,0,"2,514.40",-0.89,"1,102.26",-1.23,0,,328.36,0.24
237,Gujarat Gas,"5,120.43",-16.77,"5,092.61",-16.59,220.59,16.08,"4,053.40",3.8,"1,663.72",9.22,0,,133.06,0.29
238,GNFC,"5,103.35",5.89,"4,588.77",0.81,528.79,194,"6,887.94",-8.67,"3,855.23",15.99,0,,374.37,4.87
239,Prism Cement,"5,088.94",-5.25,"5,011.32",-4.05,-1.8,0,"3,561.39",-4.62,994.93,-0.33,0,,472.19,6.81
240,Whirlpool of India,"5,041.44",18.15,"4,772.45",14.55,310.49,29.36,"1,622.22",28.93,"1,483.06",27.22,0,,411.63,7.57
241,IIFL Holdings,"4,924.88",24.28,"4,912.47",24.3,686.09,34.22,"30,106.85",49.49,"4,381.56",30.71,142.92,,784.03,11.36
242,SRF,"4,918.60",6.94,"4,821.80",4.99,514.99,19.8,"5,638.49",5.88,"3,182.66",15.19,68.9,,433.8,12.29
243,Apar Industries,"4,913.49",-2.41,"4,831.98",-4.85,176.57,45.1,"1,347.64",8.26,"1,036.12",21.33,0,,107.37,18.03
244,Prestige Estates Projects,"4,873.80",-16.27,"4,774.50",-13.68,269.9,-55.74,"10,591.90",5.74,"4,464.00",6.29,0,,293.3,44.48
245,United Breweries,"4,801.22",-2.62,"4,729.19",-2.15,229.57,-23.04,"2,938.74",-0.86,"2,334.21",8.71,0,,356.28,5.22
246,Berger Paints India,"4,786.13",11.74,"4,552.25",7.79,473.66,27.82,"2,323.52",20.46,"1,900.69",21.74,0,,306.72,12.15
247,Trident,"4,770.35",28.73,"4,694.42",28.06,337.22,39.31,"5,703.42",-5.56,"2,756.84",13.17,61.15,,579.42,34.91
248,Future Enterprises,"4,745.35",-50.77,"4,487.50",-52,35,-1.57,"9,680.06",8.98,"3,797.48",11.82,0,,138.28,-60.48
249,Jaiprakash Power Ventures,"4,743.57",11.96,"4,657.47",13.23,"-1,232.94",0,"35,054.60",1.77,"9,387.01",23.28,8.19,,118.12,30.63
250,JK Cement,"4,724.14",6.57,"4,694.88",7.46,226.53,291.58,"5,366.96",4.5,"1,759.48",10.87,27.97,,315.54,17.41
251,Shriram City Union Finance,"4,709.02",17.15,"4,707.16",17.61,578.09,4.72,"25,247.88",22.02,"5,187.57",11.59,32.97,,597.3,10.44
252,KSK Energy Ventures,"4,707.46",6.97,"3,938.58",-9.07,-635.98,0,"26,217.67",12.61,"3,119.43",11.63,0,,111.87,28.6
253,Cholamandalam Invst & Finance,"4,696.84",11.41,"4,693.58",11.38,719.43,25.19,"29,279.26",9.27,"4,325.84",17.88,54.69,,414.09,57.94
254,SREI Infrastructure Finance,"4,681.37",43.51,"4,665.90",44.27,243.36,235.58,"31,462.53",28.45,"4,918.74",35.69,0,,201.56,39.14
255,Sadbhav Engineering,"4,654.19",11.49,"4,570.01",12.4,-54.03,0,"12,965.95",10.06,"1,660.90",-7.62,0,,170.6,13.62
256,Kansai Nerolac Paints,"4,601.22",-2.51,"4,468.95",7.84,508.84,-43.52,"2,865.51",11.68,"2,814.50",12.15,164.37,,202.57,16.91
257,Supreme Industries,"4,592.65",13.44,"4,462.26",13.06,430.4,45.81,"1,988.84",14.28,"1,695.72",28.88,38.11,,187.25,7.25
258,Oracle Financial Services Software,"4,582.63",5.54,"4,426.53",7.15,"1,185.39",13.01,"3,396.01",-29.4,"2,675.92",-27.19,"2,292.44",,"2,070.27",6.19
259,Security & Intelligence Services India,"4,580.98",18.93,"4,567.09",19.05,91.28,20.53,"1,396.65",44.71,543.09,20.86,0,,"3,788.67",21.33
260,Thermax,"4,576.64",-13.29,"4,483.08",-12.86,223.01,-20.99,"2,768.94",2.12,"2,537.62",5.03,0,,687.52,3.82
261,APL Apollo Tubes,"4,536.48",6.87,"4,545.00",7.87,145.89,45.08,"1,324.73",8.21,720.3,26.91,0,,72.06,14.62
262,Birla Corporation,"4,479.78",28.81,"4,347.67",33.03,219.46,30.85,"8,025.74",74.36,"3,304.99",12.98,0,,306.29,25.55
263,RBL Bank,"4,468.62",38.14,"3,713.16",35.3,446.81,52.77,"46,904.19",23.84,"4,335.37",45.08,0,,446.14,20.6
264,Blue Star,"4,439.25",12.8,"4,387.73",15.53,123.05,17.44,994.13,-1.65,757.13,20.1,0,,339.03,-18.75
265,Bandhan Bank,"4,320.12",149.54,"3,908.71",147.17,"1,111.95",303.98,"28,704.06",55.37,"4,446.45",33.35,0,,545.57,67.83
266,GE T&D India,"4,318.58",18.42,"4,052.13",22.67,-86.66,0,"1,661.82",-8.09,"1,032.79",-12.35,0,,403.32,10.37
267,Bajaj Electricals,"4,306.92",-7.73,"4,261.71",-7.16,102.17,-5.22,"1,575.77",-10.28,863.11,14.52,0,,314.39,15.63
268,Tube Investments of India,"4,247.57",0,"4,108.57",0,158.95,0,"1,918.81",0,"1,142.01",0,0,,398.63,0
269,GlaxoSmithkline Consumer Healthcare,"4,238.00",-4.04,"3,986.46",-3.62,656.68,-4.45,"3,367.43",10.43,"3,122.67",11.58,0,,458.03,-9.3
270,Escorts,"4,237.85",20.52,"4,145.33",20.79,131.27,85.91,"1,938.95",2.4,"1,620.93",10.53,0,,462.25,11.93
271,Future Lifestyle Fashions,"4,226.14",16.33,"4,105.69",17.83,45,52.7,"2,688.49",-5.13,"1,922.28",18.42,0,,205.08,8.76
272,JVL Agro Industries,"4,221.21",-9.49,"4,235.37",-6.76,32.4,-33.85,"1,031.10",19.83,613.26,5.8,0,,12.45,3.84
273,Biocon,"4,213.00",12.13,"3,891.10",16.24,612.1,11.21,"7,910.20",9.9,"4,836.80",19.93,0,,747,22.44
274,Religare Enterprises,"4,207.77",-26.11,"3,708.70",-24.23,-174.27,0,"18,959.25",-25.62,"2,726.88",-28.95,0,,644.99,-30.91
275,Bombay Rayon Fashions,"4,195.90",-8.16,"3,894.86",-7.48,-162.28,0,"8,311.05",8.82,"2,717.11",33.97,0,,273.71,-1.82
276,Divis Laboratories,"4,180.05",8.62,"4,064.34",7.63,"1,060.42",-5.81,"5,408.43",24.41,"5,357.39",24.78,0,,468.74,29.78
277,Indian Hotels Co,"4,162.55",2.4,"4,010.26",-0.32,-63.2,0,"7,070.88",-14.3,"2,517.69",-2.42,0,,"1,364.65",-4.12
278,Wockhardt,"4,154.73",-9.36,"4,014.61",-9.85,-195.72,0,"7,960.22",13.92,"3,336.71",-11.61,0,,966.51,1.66
279,Hatsun Agro Product,"4,153.64",18.97,"4,199.66",21.92,133.97,121.44,"1,268.15",40.5,347.11,50.49,15.22,,126.86,15.09
280,ISGEC Heavy Engineering,"4,109.24",-12.02,"3,916.79",-13.15,242.09,31.04,"1,894.56",-5.96,"1,253.64",21.85,13.28,,327.25,7.94
281,Deepak Fertilisers & Petrochemicals,"4,046.99",-11.17,"4,150.12",-3.69,175.31,50.78,"3,597.37",1.58,"1,700.34",11.3,0,,210.17,14.84
282,Colgate-Palmolive (India),"4,016.05",2.66,"3,981.82",2.94,577.43,-0.64,"1,300.63",23.8,"1,273.80",23.55,271.99,,288.5,9.95
283,Crompton Greaves Consumer Electrical,"4,014.55",116.63,"3,975.90",119.46,290.69,176.35,"1,206.71",35.93,539.16,135.73,0,,225.18,124.08
284,Kesoram Industries,"4,011.95",-18.11,"3,915.63",-4.5,-230.26,0,"3,667.72",-35.27,181.08,-54.21,0,,389.85,33.25
285,The Ramco Cements,"3,991.62",9.44,"3,967.33",10.76,662.74,21.55,"5,249.71",-0.65,"3,795.46",21.14,0,,278.52,7.37
286,Balkrishna Industries,"3,986.09",17.58,"3,727.03",15.05,716.85,60.83,"4,961.41",5.69,"3,548.56",27.29,53.16,,256.86,9.34
287,Usha Martin,"3,974.50",0.77,"3,881.94",-5.6,-358.91,0,"5,458.38",-8.53,944.92,-30.18,0,,373.97,0.18
288,Vakrangee,"3,967.44",23.91,"3,948.95",23.76,522.95,32.48,"2,207.83",19.77,"2,060.50",35.46,0,,42.34,66.96
289,Binani Industries,"3,958.25",-3.57,"3,877.65",-4.13,-460.92,0,"5,139.34",-10.15,0,0,0,,532.74,-3.94
290,Aegis Logistics,"3,949.20",78.38,"3,932.81",77.7,120.26,6.11,942.33,24.98,602.15,19.36,23.38,,46.19,-1.43
291,Indraprastha Gas,"3,923.49",4.25,"3,814.78",3.5,606.34,32.42,"3,032.03",17.3,"2,926.56",18.12,49,,91.71,17.04
292,Varun Beverages,"3,918.38",12.9,"3,852.01",13.49,151.26,33.81,"3,926.47",14.4,"1,893.86",744.42,0,,426.36,31.69
293,Balrampur Chini Mills,"3,906.00",32.88,"3,460.14",25.52,592.99,491.81,"3,352.17",15.08,"1,560.60",26.97,85.75,,180.99,16.73
294,India Infrastructure Finance Company,"3,902.64",-16.24,"3,750.95",-10.92,67.91,-85.5,"42,156.78",-0.28,"7,423.95",2.19,0,,25.96,21.76
295,Dilip Buildcon,"3,877.36",16.34,"5,319.16",23.69,357.68,55.67,"6,178.48",28.73,"1,718.98",84.42,0,,82.18,16.3
296,National Steel & Agro Industries,"3,859.34",-1.89,"3,980.38",6.13,20.62,-26.72,604.4,-2.9,347.98,5.45,0,,50.72,5.91
297,Strides Shasun,"3,819.70",24.54,"3,483.42",21.7,399.75,268.37,"7,059.61",9.74,"2,710.44",1.98,0,,588.12,64.42
298,Tamilnad Mercantile Bank,"3,811.47",6.74,"3,380.96",3.96,316.66,-21.26,"35,414.20",5.26,"3,224.04",9.6,34.3,,377.84,7.97
299,Philips India,"3,734.00",2.09,"3,690.30",4.2,206.4,10.43,"2,211.30",12.15,2,10.14,17.3,,998.9,9.16
300,Hinduja Global Solutions,"3,733.76",11.54,"3,710.99",11.74,179.55,77.98,"2,031.11",-1.26,990.69,-15.92,0,,"2,456.80",9.92
301,Cyient,"3,702.30",15.17,"3,585.80",15.89,343.8,5.62,"2,439.30",11.27,"2,117.30",15.67,61.9,,"2,050.90",13.02
302,IFCI,"3,681.29",-20.55,"3,582.44",-19.77,-377.53,0,"32,228.19",-13.53,"6,086.74",-6.22,0.26,,252.46,8.83
303,City Union Bank,"3,657.74",9.05,"3,173.79",7.8,502.77,13.06,"34,216.93",10.83,"3,570.20",16.98,0,,298.14,39.86
304,Mahanagar Telephone Nigam,"3,655.38",-3.59,"2,969.37",-7.87,"-2,936.05",0,"15,265.17",-7.62,"-3,373.85",0,0,,"2,813.95",-0.86
305,Compuage Infocom,"3,651.06",15.44,"3,551.33",14.29,17.63,18.24,445.43,12.83,115.64,14.65,2.35,,32.85,26.64
306,Housing & Urban Development Corporation,"3,634.37",9.89,"3,536.04",8.14,842.24,7.59,"37,710.94",10.21,"9,167.25",8.66,100.01,,124.47,-11.38
307,GVK Power & Infrastructure,"3,632.83",0.13,"3,516.47",9.65,"-1,343.63",0,"18,816.41",-8.91,-296.84,0,0,,201.19,22.39
308,Shipping Corporation of India,"3,632.28",-14.39,"3,446.87",-14.89,175.62,-77.53,"12,507.14",-1.74,"6,928.73",2.84,0,,455.07,-6.17
309,Coffee Day Enterprises,"3,630.95",12.34,"3,499.96",14.23,46.2,0,"7,452.99",13.07,"2,227.66",2.86,0,,391.14,13.9
310,Great Eastern Shipping Company,"3,629.13",-7.57,"3,116.86",-18.14,754.96,-31.18,"14,105.90",13.87,"7,223.33",10.05,0,,596.77,0.74
311,Uttam Value Steels,"3,614.18",5.73,"3,511.63",-6.18,-510.82,0,"2,906.68",8.16,-665.57,0,0,,67.87,-7.68
312,Firstsource Solutions,"3,558.81",10.29,"3,555.61",10.52,280,7.49,"2,980.39",10.54,"2,028.01",14.12,0,,"2,383.44",9.7
313,Sanwaria Consumer,"3,539.42",30.95,"3,512.44",30.32,43.97,180.42,"1,325.37",8.55,374.66,12.34,1.84,,3.59,-6.99
314,Hexaware Technologies,"3,538.74",12.97,"3,534.90",13.17,417.11,6.08,"1,758.55",19.75,"1,711.11",19.39,166.06,,"1,995.19",12.52
315,LT Foods,"3,533.73",19.74,"3,286.55",10.53,117.43,62.85,"2,315.64",6.72,656.23,22.26,0,,112.15,29.85
316,Minda Industries,"3,526.67",37.54,"3,505.03",38.68,168.08,51.23,"1,775.41",74.63,"1,027.35",119.42,9.52,,462.02,41.58
317,Saraswat Co-operative Bank,"3,498.61",7.42,"3,065.87",6.8,234.05,10.82,"38,283.16",7.39,"3,015.40",13.75,21.39,,304.45,-12.23
318,BGR Energy Systems,"3,491.72",8.12,"3,440.89",6.09,77.2,340.39,"3,539.02",-17.62,"1,267.37",6.54,0,,199.6,1.19
319,Castrol India,"3,472.58",2.77,"3,370.33",2.19,674.91,9.7,609.84,3.27,595.75,3.5,544.01,,172.56,-2.28
320,Gujarat Ambuja Exports,"3,442.56",25.36,"3,330.81",21.72,158.55,52.97,"1,501.47",20.19,853.1,-6.91,0,,73.59,7.9
321,KRBL,"3,418.69",-3.16,"3,149.03",-6.36,399.4,36.25,"3,003.14",12.46,"1,907.32",27.3,0,,71.54,13.52
322,Manappuram Finance,"3,408.91",43.76,"3,405.53",43.78,755.85,113.9,"14,496.52",15.56,"3,361.80",21.89,126.26,,502.58,16.85
323,Nagarjuna Fertilizers & Chemicals,"3,398.47",-16.33,"3,385.07",-14.9,-121.79,0,"2,914.99",-4.81,"1,092.38",-10.01,0,,154.54,4.4
324,LEEL Electricals,"3,387.82",23.6,"3,321.73",22.34,69.99,66.88,"2,068.69",20.12,900.18,15.32,0,,178.78,20.36
325,KPIT Technologies,"3,377.19",3.71,"3,320.04",2.97,238.51,-15.09,"2,041.47",20.49,"1,582.46",14.22,0,,"2,090.53",8.12
326,Polyplex Corporation,"3,351.41",6.18,"3,207.67",0.18,221.44,662.53,"4,024.71",-5.48,"2,379.89",2.53,9.6,,293.44,-0.58
327,Lakshmi Vilas Bank,"3,349.43",16.59,"2,846.66",10.84,256.07,42.07,"34,462.83",23.44,"1,966.85",23.56,0,,334.71,21.56
328,Tamil Nadu Newsprint & Papers,"3,349.05",24.87,"3,198.98",18.27,264.56,1.83,"4,633.31",7.83,"1,704.65",12.92,0,,246.85,32.19
329,Gokul Agro Resources,"3,334.08",23.67,"3,298.83",23.68,20.68,119.77,499.04,21.07,206.46,10.79,0,,16.58,-2.36
330,Sundram Fasteners,"3,321.79",-3.63,"3,290.00",1.08,338.37,168.46,"1,957.57",24.47,"1,236.13",29.63,0,,377,-17.62
331,Patel Engineering,"3,295.91",-21.4,"2,925.55",-26.69,41.83,0,"7,490.78",2.16,0,0,0,,128.88,-7.21
332,Forbes & Company,"3,243.49",-2.96,"3,023.46",-6.42,85.01,0,"1,812.17",8.12,314.46,43.6,0,,679.53,4.97
333,Ipca Laboratories,"3,238.73",11.57,"3,210.64",10.46,194.54,108.87,"3,197.12",1.55,"2,455.26",8.68,0,,695.98,11.25
334,Rolta India,"3,223.56",-16.01,"3,179.88",-16.31,166.74,-9.28,"8,866.96",6.24,"2,584.63",12.03,0,,703.96,-11.18
335,DBS Bank,"3,200.60",34.94,"2,577.93",23.24,12.8,49.53,"37,388.98",-5.06,"4,616.50",4.5,0,,349.6,13.64
336,Aarti Industries,"3,197.04",7.89,"3,161.73",5.16,315.78,22.93,"2,990.62",20.53,"1,361.94",19.81,1.81,,152.28,26.16
337,Alembic Pharmaceuticals,"3,181.15",-2.69,"3,134.61",-0.99,403.17,-44.01,"2,051.24",17.06,"1,901.10",19.02,0,,558.83,18.18
338,Surya Roshni,"3,146.22",6.08,"3,145.46",6.12,66.22,4.94,"1,967.37",3.12,0,0,1.5,,199.64,7.53
339,Rane Holdings,"3,135.82",26.59,"2,970.93",23.42,136.82,108.76,"1,525.88",10.4,722,22.22,5,,441.11,22.3
340,SJVN,"3,127.00",2.91,"2,471.10",-1.01,"1,547.18",9.67,"14,778.54",-0.83,"11,488.55",1.65,930.74,,253.56,17.64
341,Minda Corporation,"3,115.22",25.04,"2,962.04",21.12,96.08,-10.43,"1,346.56",12.36,630.97,15.23,4.19,,497.11,19.36
342,ITD Cementation India,"3,114.82",0.7,"3,089.60",0.61,48.11,0,"1,022.73",-8.35,550.72,8.36,4.65,,253.8,14.11
343,Triveni Engineering and Industries,"3,113.87",48.38,"2,824.55",47.5,252.96,0,"2,597.97",10.07,835.38,42.29,0,,187.85,18.31
344,Va Tech Wabag,"3,105.11",21.87,"3,207.91",27.89,102.4,15.41,"1,527.27",2.76,824.06,-16.91,0,,243.97,15.45
345,Ashoka Buildcon,"3,097.63",6.59,"2,975.26",5.32,-9.96,0,"9,723.62",0.25,"1,671.65",-2.5,14.97,,118.2,23.27
346,Dhunseri Investments,"3,085.17",0,"2,507.88",0,362.59,0,"2,155.50",0,642.78,0,0,,22.94,0
347,Force Motors,"3,083.47",-2.47,"3,069.37",1.47,180.09,0.67,"1,900.81",24.01,"1,667.58",11.95,0,,350.08,15.04
348,Finolex Industries,"3,079.05",6.78,"2,987.64",5.08,354.85,37.66,"2,481.80",32.97,"2,314.78",45.54,0,,104.89,13.39
349,RSWM,"3,077.70",3.7,"2,986.63",1.82,104.1,-7.23,"2,192.24",7.59,708.33,13.5,0,,348.63,10.09
350,Zensar Technologies,"3,066.47",1.91,"3,060.38",3.68,234.87,-18.88,"1,683.33",14.75,"1,470.49",16.23,22.42,,"1,580.07",8.42
351,Team Lease Services,"3,064.26",21.58,"3,041.87",21.44,66.34,167.5,424.65,16.61,381.13,22.32,0,,"2,937.69",20.44
