Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
38,Union Bank of India,"38,246.97",5.51,"32,816.98",1.55,572.64,-57.78,"4,45,024.84",11.87,"21,655.28",5.81,0,,"3,509.40",-6.86
39,Grasim Industries,"36,983.83",4.55,"36,068.40",4.58,"3,167.30",28.33,"50,750.60",3.47,"31,386.81",14.43,0,,"2,265.59",6.47
40,Idea Cellular,"36,304.50",-0.76,"35,575.74",-1.04,-399.7,0,"81,701.26",21.54,"24,732.25",5.02,0,,"1,797.65",11.53
41,Kotak Mahindra Bank,"33,983.77",21.23,"22,324.21",9.42,"4,940.43",42.83,"2,62,989.92",15.05,"38,492.71",15.37,110,,"3,982.31",3.33
42,Hindustan Unilever,"33,685.00",3.24,"33,162.00",3.03,"4,490.00",8.17,"8,269.00",4.63,"6,744.00",2.6,"3,571.00",,"1,743.00",3.75
43,Sun Pharmaceuticals,"32,473.22",9.93,"31,578.44",10.85,"6,964.37",53.21,"51,604.12",8.25,"20,871.51",-33.54,0,,"4,902.30",2.72
44,IDBI Bank,"31,972.57",1.26,"27,805.38",-0.9,"-5,015.90",0,"3,47,912.54",-4.37,"17,844.57",-20.52,0,,"2,305.53",30.8
45,General Insurance Corporation of India,"30,946.52",55.64,"26,374.69",71.95,"3,140.62",11.23,"50,005.86",19.42,"50,005.89",19.42,860,,100.72,11.61
46,Tech Mahindra,"29,916.10",11.06,"29,140.80",9.99,"2,812.90",-6.01,"20,645.00",16.09,"16,437.20",12.65,0,,"15,453.90",10.8
47,Reliance Infrastructure,"29,627.00",-0.3,"25,430.28",-5.71,"1,425.18",87.62,"65,326.65",-7.27,"20,995.14",-20.3,0,,"1,706.21",1.08
48,Hero MotoCorp,"29,327.18",1.29,"28,584.96",0.45,"3,584.27",14.08,"10,719.12",16.65,"10,315.51",16.77,639.01,,"1,432.49",6.95
49,Bharat Heavy Electricals,"28,219.04",5.28,"28,252.18",10.7,457.26,0,"41,274.81",-7.59,"32,388.99",0.23,0,,"5,408.00",0.38
50,Tata Power Company,"28,132.79",-12.05,"27,881.91",-5.47,745.48,12.58,"68,559.45",17.58,"11,779.47",1.26,0,,"1,447.48",5.24
51,Chennai Petroleum,"27,647.63",7.61,"27,691.40",7.14,"1,050.82",37.98,"9,115.68",28.07,"3,441.10",39.38,0,,512.88,43.66
52,Central Bank of India,"27,646.12",-1.02,"24,774.65",-4.67,"-2,459.36",0,"3,25,178.58",10.33,"15,006.05",-1.37,0,,"4,221.20",-5.61
53,Power Finance Corporation,"27,611.29",-0.98,"27,581.27",-1,"2,236.10",-63.84,"2,48,530.01",4.22,"36,844.91",2.27,"1,320.04",,133.24,24.96
54,Power Grid Corporation of India,"26,638.89",24.98,"25,703.91",24.46,"7,450.73",25.04,"1,75,575.14",9.62,"49,865.50",13.41,"1,313.12",,"1,911.60",27.17
55,Syndicate Bank,"26,461.65",2.93,"23,003.79",-0.84,517.45,0,"2,93,737.63",-2.63,"14,118.54",9.95,0,,"3,794.64",35.93
56,UltraTech Cement,"25,947.38",1.22,"25,374.94",0.88,"2,714.92",9.56,"33,210.73",1.06,"24,391.62",11.15,310.99,,"1,522.34",5.35
57,Petronet LNG,"24,980.13",-8.57,"24,616.03",-9.28,"1,723.13",85.71,"11,788.70",10.35,"8,178.38",22.75,187.5,,73.86,3.94
58,Rural Electrification Corporation,"24,663.24",1.93,"24,662.59",2.23,"6,313.37",10.93,"2,03,385.09",1.99,"33,670.56",16.53,"1,382.44",,192.75,34.61
59,Jet Airways (India),"24,524.40",2.98,"23,547.07",2.02,438.45,-63.81,"4,776.62",-30.58,"-4,899.88",0,0,,"3,141.23",24.05
60,Bajaj Finserv,"24,522.06",19.42,"24,521.64",19.42,"2,261.92",21.4,"94,111.58",24.94,"16,138.30",18.73,0,,"1,000.73",30.3
61,Ashok Leyland,"24,272.47",8.93,"23,244.47",6.98,"1,589.36",133.07,"20,433.59",19.12,"6,392.95",21.45,325.4,,"1,924.12",12.41
62,Reliance Communications,"23,322.00",-13.52,"22,149.00",-13.46,"-1,403.00",0,"82,330.00",-4.7,"24,084.00",-34.67,0,,"1,138.00",1.61
63,Bajaj Auto,"23,287.21",-1.86,"21,766.68",-3.63,"4,079.49",0.45,"18,111.16",27.04,"17,856.57",27.36,144.68,,960.84,8.76
64,Adani Power,"23,202.78",-8.4,"22,783.82",-10.76,"-6,174.10",0,"61,458.46",-7.91,"2,999.56",-59.83,0,,410.08,8.27
65,Indian Overseas Bank,"23,091.24",-11.34,"19,718.60",-16.15,"-3,416.74",0,"2,41,184.84",-9.79,"11,579.11",-12.64,0,,"3,044.67",-10.2
66,IFFCO,"22,597.10",-25.67,"22,130.23",-25.45,134.7,-66.78,"22,770.32",-8.84,"8,107.38",7.93,85.7,,988.73,2.83
67,Corporation Bank,"22,569.23",6.69,"19,471.52",0.31,565.81,0,"2,39,768.62",4.41,"12,086.62",12.75,0,,"1,445.00",5.19
68,NABARD,"22,434.68",7.52,"22,175.54",7.64,"2,680.50",5.32,"3,33,922.62",11.58,"53,883.59",8.56,0,,"1,709.90",37.9
69,New India Assurance Company,"22,428.17",16.34,"17,674.78",16.17,857.86,-10.76,"36,566.82",15.59,"12,817.79",2.59,0,,"2,235.94",-8.78
70,Jindal Steel & Power,"21,382.87",11.5,"21,655.50",11.23,"-2,281.28",0,"77,619.31",-3.49,"30,050.53",-7.35,0,,913.55,-3.49
71,Andhra Bank,"21,303.90",7,"18,218.32",2.36,207.1,-62.88,"2,15,772.02",10.61,"10,579.44",2.36,0,,"2,136.51",20.85
72,Oriental Bank of Commerce,"21,187.85",-3.41,"18,422.33",-8.66,"-1,094.07",0,"2,48,052.93",5.88,"12,672.94",-7.72,0,,"2,099.34",3.33
73,Ambuja Cements,"20,875.22",112.81,"20,343.83",114.57,"1,121.13",38.77,"24,146.36",133.31,"19,545.45",90.29,486.58,,"1,397.21",135.2
74,Yes Bank,"20,642.80",26.93,"16,425.00",21.37,"3,339.89",32.03,"2,03,503.75",29.52,"22,039.63",60.14,0,,"1,840.24",39.44
75,Allahabad Bank,"20,578.94",-2.04,"17,694.35",-6.45,-279,0,"2,31,554.01",-1.21,"15,036.19",-0.03,0,,"2,306.32",7.35
76,Tata Communications,"19,976.88",7.72,"17,619.73",-2.91,"1,232.87","14,103.57","15,036.31",-19.66,"1,591.90",-538.11,0,,"2,839.41",3.64
77,Interglobe Aviation,"19,369.86",16.29,"18,580.50",15.12,"1,659.15",-16.46,"10,463.77",15.89,"3,779.18",38.78,0,,"2,048.19",14.55
78,IndusInd Bank,"18,577.16",22.47,"14,405.67",21.34,"2,868.17",25.43,"1,69,673.52",25.04,"20,273.01",17.07,0.46,,"1,521.02",23.05
79,UCO Bank,"18,440.29",-8.52,"16,325.80",-12.04,"-1,850.67",0,"2,23,572.94",-5.62,"10,428.30",2.68,0,,"1,920.58",4.65
